comment_id,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25,pc_26,pc_27,pc_28,pc_29,pc_30,pc_31,pc_32,pc_33,pc_34,pc_35,pc_36,pc_37,pc_38,pc_39,pc_40,pc_41,pc_42,pc_43,pc_44,pc_45,pc_46,pc_47,pc_48,pc_49,pc_50,pc_51,pc_52,pc_53,pc_54,pc_55,pc_56,pc_57,pc_58,pc_59,pc_60,pc_61,pc_62,pc_63,pc_64,pc_65,pc_66,pc_67,pc_68,pc_69,pc_70,pc_71,pc_72,pc_73,pc_74,pc_75,pc_76,pc_77,pc_78,pc_79,pc_80,pc_81,pc_82,pc_83,pc_84,pc_85,pc_86,pc_87,pc_88,pc_89,pc_90,pc_91,pc_92,pc_93,pc_94,pc_95,pc_96,pc_97,pc_98,pc_99,pc_100,pc_101,pc_102,pc_103,pc_104,pc_105,pc_106,pc_107,pc_108,pc_109,pc_110,pc_111,pc_112,pc_113,pc_114,pc_115,pc_116,pc_117,pc_118,pc_119,pc_120,pc_121,pc_122,pc_123,pc_124,pc_125,pc_126,pc_127,pc_128,pc_129,pc_130,pc_131,pc_132,pc_133,pc_134,pc_135,pc_136,pc_137,pc_138,pc_139,pc_140,pc_141,pc_142,pc_143,pc_144,pc_145,pc_146,pc_147,pc_148,pc_149,pc_150,pc_151,pc_152,pc_153,pc_154,pc_155,pc_156,pc_157,pc_158,pc_159,pc_160,pc_161,pc_162,pc_163,pc_164,pc_165,pc_166,pc_167,pc_168,pc_169,pc_170,pc_171,pc_172,pc_173,pc_174,pc_175,pc_176,pc_177,pc_178
17090,6.1170044,1.5073218,1.1176677,1.2688055,-3.3764272,0.03781173,3.3026319,1.8476708,-0.62800944,0.44344863,-0.15061362,2.8355272,-2.2405427,-0.09368977,-2.22092,-0.5315468,-3.5888,-1.7781873,1.3415196,2.3110514,2.765538,0.39209378,-1.3341024,0.2545108,4.063971,-0.23841207,2.0819154,0.5680319,0.50734264,-0.39103577,-1.7685373,2.8061771,1.7924213,-0.7949345,-0.992607,-0.18787277,3.8080611,-1.2135044,0.37690914,3.0972269,-1.0056772,1.5873234,1.9365685,-2.151018,-0.7589119,0.10437246,-1.0909312,-0.38491663,0.17864184,-0.6601593,-0.9653263,-1.3046992,-0.7952701,0.46028548,1.443104,0.18976207,-2.168758,0.23789579,-2.4286568,-0.6382942,-0.82785803,5.1802273,0.9550581,0.10225269,0.9256667,-2.0479045,-0.69095767,-0.6264987,0.5928514,-0.24776648,-1.8131413,-1.818207,0.8740304,2.806882,2.092133,2.489997,-1.1462643,0.18360071,-1.3551996,-1.7965803,-3.5291922,-1.24856,-0.11192269,0.17849408,-0.8593518,0.21438625,-0.059576884,-2.0065253,2.6508315,1.2425094,-1.5801549,2.164411,-0.6946837,-1.5262625,1.8282979,-0.563251,-0.54480374,-0.80778384,1.8604411,0.52217346,2.0053074,-1.4559951,-0.4724581,-0.36684304,-2.2929158,2.3812957,-1.0692818,2.0414987,-0.23002896,-0.21584952,1.8402987,0.06479856,2.488535,1.114296,-0.89833206,0.289974,0.30369812,-0.80285233,0.25465235,0.085257076,-1.1435244,-1.2007236,0.17676613,0.76685137,-2.6406574,0.39563552,0.2305509,-0.5365598,-0.6631313,-0.12588614,-1.3064711,0.5031365,0.64667,-0.6672241,-0.7739502,-0.30137432,-1.590566,-0.16008829,0.9903101,-1.006694,-0.24882284,-0.82263297,-0.5282738,-0.88757855,1.3052868,-0.7569809,0.2777141,-0.19659348,0.1740717,-0.14856774,-1.477805,-0.85527897,-1.1003208,0.3356185,-0.11657649,-0.56505436,0.07624155,-0.45115042,0.7505941,-0.64481896,0.87145716,0.07777858,-0.07510476,-0.76532125,1.089917,0.6522976,-0.7462951,0.6890433,0.14552325,0.5449629,-0.3202913,1.4490103,0.33533657,0.89184785,0.0665719,-0.88156116,2.1210926,0.6486423,-0.34518993
42264,-1.3834167,-7.152833,0.7756579,-1.7197056,5.0418067,-6.3576293,-2.6633081,1.0855486,3.810245,-0.7060934,-1.8467848,-2.8138409,-6.8348227,0.18256082,-0.042570036,-2.4774523,-0.5758004,0.01763389,-0.3644315,-3.0900445,-1.7690129,-1.2401639,0.70986176,-1.265754,2.375586,-0.10085121,-0.16695474,-0.054190535,-0.99101305,-3.010861,-2.7012508,-1.7678537,0.18562831,0.04136564,-1.0577502,3.3046622,0.96809524,2.7565103,-2.0084,0.22170186,0.42863,1.1082158,0.432076,0.54347146,-1.6566143,-0.43739313,-1.3935721,2.1598425,-0.848308,0.4706317,-0.25081703,0.6125141,0.6236423,0.92047805,-1.1154546,-2.6671333,0.9607355,-0.10324919,0.78930223,0.678013,-2.4012132,-1.4420834,1.354891,-0.37492567,-0.5656383,0.72673076,0.5044411,-0.6559967,0.9210092,0.38388553,-0.43436304,-2.6913648,1.6231147,-2.2586372,1.230082,0.6722939,1.1081904,2.211831,1.8476338,1.6816647,1.6664034,0.3767443,0.55833685,1.6600939,-1.4059615,1.2215612,0.69404066,1.6914507,-0.355175,-0.5005113,-0.03803485,0.3052945,1.2811378,-0.9262273,1.0985836,2.013388,0.5377107,-0.2566943,0.2508812,0.6311658,0.27929154,-1.0719311,0.3589086,1.3518885,-0.47634605,-0.84257287,2.2986948,0.8472577,-1.6319718,0.1304422,0.59741414,-0.2195465,-1.0134386,0.21402189,0.12050976,-0.54296285,-1.121242,-0.156582,-0.3511645,1.5264673,1.7294838,-0.7506926,-0.47166994,0.5638104,-0.8955236,1.6045378,0.45308602,-0.25262386,0.042908322,0.346037,0.53146803,-0.5816201,-1.1773738,-0.63269687,0.6044804,1.0966504,0.76374066,1.0984688,-1.7359064,-0.30316085,1.0692556,-0.3580418,0.9232852,-0.5648876,-0.253449,-1.0767395,-0.9419046,-0.25210428,0.41929927,0.7907127,0.14540088,0.052880123,-0.39055637,-0.25256887,1.5767334,0.13005593,-0.09974378,0.6588502,-0.37839237,1.2691905,0.24541804,0.30192825,-0.85978544,0.29998317,-0.40505293,-0.8030867,0.5208857,-0.110308014,-0.41007897,0.14590211,0.09482382,0.13594483,0.5593269,0.49630883,0.63675994,-0.11533362,-0.560743,-0.12076974,-0.46503025
34131,-1.2850564,4.2020636,0.6272747,-2.6476831,1.84341,0.5747674,-0.676018,1.3150973,-1.9494708,4.0217934,-5.027479,-1.3483127,-1.0244834,1.0214728,1.5918834,1.518425,2.4684043,1.9465215,0.07995157,1.0645401,4.5361466,1.7952161,0.9162482,0.5768689,-1.4708927,-1.5070922,-0.30097815,-1.0045522,0.09797398,-0.04641424,-0.19575524,-2.482335,-3.8201783,-1.9291015,0.054511607,5.877614e-05,0.8766278,3.0877936,-0.6465733,0.16691324,-0.18203923,-0.91903603,0.0042995582,2.036899,-0.3355056,-1.2893399,0.38024807,-1.051219,1.2356408,-0.31345448,2.5310786,-0.21795107,-0.051408086,1.2964969,1.7941397,-1.8401394,0.3998969,0.0039176974,-0.08985419,-0.6510262,0.8422011,0.5961764,0.3735959,0.19633703,0.86622417,0.2999624,0.7777158,0.7384219,-0.08293487,1.6194849,1.2656982,-2.225705,0.43768615,0.08643815,-0.03001298,-0.40562323,0.97014356,1.5141397,-1.0454555,0.7489712,0.668681,2.169442,2.1133525,-0.592655,-0.82392216,0.93190515,-0.40905082,0.058341324,2.1507876,0.9551116,-1.0131147,-2.1607194,-0.94401014,-0.13835461,-0.6239425,0.03073365,-3.465956,0.27667126,-0.117686525,0.48537025,-0.4514033,-0.53249,-0.45501184,0.62549317,0.021958211,1.0543468,-0.12450759,-0.48405296,-0.5504481,-0.6942009,-1.5556631,-1.5388584,-0.48491254,1.5960642,0.5484025,-0.62957776,-0.28965566,0.5536726,-0.28464407,0.07206937,1.2057958,1.2431693,-0.82506037,0.9599348,0.2792604,-0.07318967,-0.3309177,0.65296865,1.4470218,0.1231052,-0.38844156,-0.2607398,1.7079992,-0.11748226,-0.2990798,-1.0861548,-0.3714298,0.5694778,0.28292853,-0.20531332,-0.46310905,0.15654705,-0.2019794,-0.117516205,0.13633962,-0.08101245,-0.9840436,-0.31949133,0.34324375,-0.28771394,0.9919553,0.53815764,0.39715013,0.921077,-1.2117733,-0.43063378,0.32915485,1.4916915,-0.38473698,-0.5214973,0.7213057,0.7376982,-0.02234612,-1.4937959,1.124627,-0.54241705,-1.5455165,-0.37909883,0.17139503,0.7742123,0.14183068,-0.49797833,-0.57400113,0.1601463,-0.3381854,-0.80790675,0.39675772,-0.17401692,0.22722031
41554,-3.2789092,5.961021,3.308783,-5.0914164,-2.6166413,-0.9761569,4.4512577,-0.29729527,-1.6513427,0.85404325,-4.3613334,-4.2720175,2.8706248,-1.1377448,-0.19909002,-1.6442177,0.08415251,1.0240797,2.7880425,1.9105784,-2.8574977,0.67313343,-0.39763737,-2.4238815,1.4391322,-1.0306183,-1.1731836,0.74655133,1.6640843,-0.53505975,4.28127,-0.67448086,3.1110435,-0.066743895,-0.033526957,-0.7893169,0.7553403,-0.4058026,-0.3039406,-2.0991626,-2.851836,-1.8161767,0.3868643,1.3670757,2.7991843,-1.1352613,-0.015215778,-0.23563558,-0.85024536,-1.0491248,0.57893115,2.3319736,-0.48237374,0.7869591,-1.2379037,-0.26177412,0.13409954,-0.8044176,0.63955665,0.17795026,1.6982325,-1.9299532,2.6665058,-0.8821113,-2.8341208,-1.9675033,-0.881767,-1.8222702,0.9118665,-1.0127424,0.70881605,1.0833415,0.98093545,1.1108274,-0.100112095,0.03184937,-1.0018259,-0.21952198,0.3031386,-0.28893584,0.69110477,0.18966368,0.69961786,-0.57696086,0.10063957,-0.4512723,0.9310279,1.0886009,-0.28693292,-0.09570366,-0.6502962,0.59891456,-0.15254115,-1.2125123,-0.2009109,1.8053803,-1.3277363,-0.047027092,-0.0035845633,-0.95061463,-0.011814394,-0.09070144,-1.3400838,-0.04281316,0.83518624,0.088440366,0.8933155,0.17119145,-0.2808249,-0.21301681,1.0531735,1.0906435,1.3559935,1.8742946,1.3989046,-0.59235084,0.26373968,-1.976095,1.0428108,0.68367255,-0.031302124,0.13883707,0.83753556,0.005822695,0.25464338,-0.79105437,-0.7097398,0.49815002,-0.5158727,1.0839143,0.13415195,0.85177183,0.71654034,0.3773636,-0.62446415,-0.077981316,-0.009053526,0.13538927,0.37855685,-1.6823537,0.87661004,-0.44563478,0.46706095,-0.061171316,-0.7470002,0.6211113,0.48648316,0.21741986,0.8837029,0.09179639,-1.2483829,-0.055553287,0.1284473,0.43560982,0.8152995,0.0562396,0.91355187,-0.69927883,-0.5818711,0.6353207,-0.2866683,-1.0739125,1.5897887,-1.2861024,-1.4261322,-0.3086073,0.6109792,0.76476413,-0.29636592,0.5744333,-0.34285966,-0.22344472,0.20754291,-0.7617614,0.7666842,-0.65425265,-0.45834282,0.45187935,0.19520415
33238,6.8824205,0.46233192,-0.94369274,3.0002728,4.668626,3.9374962,-5.3820524,1.3847067,-4.9696794,1.7384307,0.09548443,2.5050142,-0.063345484,3.2568197,-1.3555048,-3.6424227,-2.529307,-1.5867219,0.9941623,-4.4698443,-1.9855888,0.8452239,0.45819566,-0.67425823,0.79680467,0.9559052,1.0337625,-0.7482976,0.592183,-1.415659,0.6895857,-1.2890092,2.4120727,-0.08139072,-0.10316712,0.64399296,0.6546685,-1.0300902,-0.1953351,2.5462213,-1.1357151,-0.93871355,0.3766634,1.3512309,-0.03634137,0.8307427,1.4061558,0.36198673,1.47681,0.1527557,-1.4797331,-1.0112872,-0.8437461,-0.8389801,0.24282525,0.123675324,-0.5193504,-1.3828052,0.7048445,0.056855366,-0.40167078,0.7049608,1.4527575,-0.8224957,-0.2339464,0.6198768,0.23347922,-0.42156106,-0.05761272,1.4176841,-1.2684634,0.6207732,0.8779812,1.1246078,1.1908214,0.2750835,2.7100916,-0.44934243,0.900316,-0.62807834,1.4162867,0.31155062,-0.516272,-0.6652483,1.0413144,-0.47410405,0.6228658,-0.17591834,0.5709835,-0.9823084,0.06447739,0.53021365,-0.32030594,-1.6010492,-0.692948,-0.01655891,-0.7505067,0.45294434,-1.0493317,-0.93921053,-1.2843027,1.3807416,1.0965667,1.172338,0.94955,-0.6260786,0.18027298,0.77641296,0.3354593,0.24546438,-0.9006741,0.8214028,-0.24931857,-0.4000681,-0.5251424,-1.7586653,-1.0816782,0.5506148,0.24692512,-0.6599945,-0.75854295,0.025544636,-0.39636096,0.4100487,0.6154559,0.23833531,-0.21175207,-0.7010961,-0.21358055,-1.3523788,-0.8173492,0.27499026,1.1859835,0.19726121,-0.032852333,0.3186951,0.17706653,0.34379557,0.60890603,1.0043032,0.030733936,0.9525825,-0.9115087,0.19238539,-1.2514622,0.70909196,-0.15519495,-0.23794457,-0.13804853,0.13384266,-0.20825064,0.12937488,0.83579475,0.5964057,1.3878818,1.5725468,0.7752017,0.27795893,0.3438684,-0.9640899,-0.5728231,-0.11424458,-0.3260484,-0.16054846,1.0428381,-0.6698906,1.3013768,-0.25684315,-1.2531964,-0.44806135,-0.45196906,0.14200865,0.76149,-0.111025214,0.22652084,0.00077435275,0.3675441,-0.23337,0.2526961
40697,-2.7533574,-5.7105045,-1.3341022,-3.5751603,-4.3865795,2.7901547,0.55189204,0.83330923,4.182375,0.54180133,-2.1713808,-0.2778095,0.58478945,-0.45710155,1.847326,0.34795552,0.44284093,0.2452684,1.0273285,-4.415067,2.6316402,-1.6658255,-0.37855563,2.593627,-1.5121013,3.8279939,-1.9052179,-0.88740325,0.9583316,0.11988868,-0.016632909,0.683401,-0.60792595,2.3901935,0.8848641,-0.4661669,1.0274241,0.42057076,-1.0836961,2.7912784,0.018869132,0.6326699,0.5229311,1.4590386,0.24602962,-0.6908516,-0.07285536,1.2942946,2.4949462,-1.7737877,-1.1551342,0.20807742,-0.76701295,1.9806097,-1.0651284,-0.5462656,-1.2873101,0.052818302,1.6839743,0.5294565,-0.9793138,-2.1620111,-1.3428936,-0.3101671,1.4288236,-0.969242,0.6353708,-0.43788207,-1.4743171,0.007390589,1.5477809,0.7360741,1.0116171,-2.4408858,-0.27959958,-1.3120941,-0.18523863,0.4720565,-0.06932611,-1.5434498,0.8117994,-1.5242901,0.11290824,1.1586148,-0.4269141,-1.855526,2.514126,2.4539337,-1.4367162,-0.5926329,-1.5593393,-0.9046674,2.0405068,0.1307888,-0.38595933,0.42272705,0.5110446,0.35607538,0.43039224,0.97969466,-0.45607218,0.30275172,-0.7153137,-1.8584791,0.9641344,-0.098233275,-1.3157444,0.6363567,0.38425717,-1.3492924,0.07851167,1.4338837,0.39248505,0.7879696,0.07133193,0.121476874,1.138366,-1.1317413,1.6234137,0.26849568,0.40363002,0.08850192,-1.1298774,0.25905913,0.9578087,0.23723312,0.4922494,0.5493271,-0.4651587,0.25391153,-1.0155195,1.1436613,-0.15912865,0.51443696,0.2408938,-0.04636014,1.5125436,-0.47369066,0.44531107,-0.9223676,1.2734759,0.7905794,-1.2841009,1.0560539,0.37865388,-2.3867605,0.95692575,0.8134197,-0.18164444,0.90802574,-2.1758366,0.6004472,1.0262749,-0.32028824,2.4991934,1.2502174,0.8759578,-0.87026477,0.61888653,-0.07470498,-0.40501592,0.49126944,-1.5694981,1.1241488,1.0687405,-0.8125436,0.21025233,-0.75454277,-0.78823054,1.0118926,0.1366786,0.93931866,0.043827944,-0.21906456,-0.21656753,-0.6203007,0.8619236,-0.9823986,-0.25195616
38937,-6.268056,4.4425015,1.9901581,4.1614666,-1.9072332,-1.1509604,3.7605414,-2.5992022,3.5480921,-2.701616,-2.6758773,-0.3619054,3.6382952,-4.9826517,0.5623022,-3.2953863,0.04747646,-0.9970579,-0.3900836,-3.515488,-2.439036,1.1941642,0.6475482,3.7262664,-0.5558369,-0.043045282,-0.052748766,-2.5117402,-2.1509898,-0.8922734,2.1002383,1.1813123,-1.7706566,0.83430356,-0.34449896,1.3559444,1.0483569,-3.1544807,-0.53602266,-0.872714,1.5884504,2.5143094,1.6658766,0.5348277,-0.8353584,0.532109,0.33429983,0.29177344,2.0439026,0.07687423,-1.0243018,-1.5615444,-0.86848426,-0.51305836,-0.5038564,-1.0667428,-0.5088258,-1.7657189,-1.6227963,-0.6231921,0.71457684,2.1534128,0.7224935,0.37351558,-0.16063698,0.5257413,1.0740614,0.5757249,-0.9026078,-0.37733585,-1.6029124,1.4910934,0.24865375,0.6711918,0.40041763,-0.029634075,-0.14268,0.10542002,-0.07397706,-1.7405734,0.295413,0.10491624,0.37004212,-0.15514694,-0.39274943,0.61245084,0.4593671,1.7736984,-0.54987514,0.33022434,-0.034896843,-0.6836671,0.3986126,-0.81943786,0.8970876,0.56160796,-0.7196562,-0.03416316,-1.427534,-0.26084313,1.217397,0.3399695,-1.667782,-0.1429312,-0.88354564,-1.1622039,0.8072349,-0.26746312,-0.04626643,-0.076114796,0.031107726,-0.29747993,0.5842379,0.4374621,0.07783489,-0.07001825,1.8189473,0.4098975,0.51311815,0.7487501,0.0013064296,0.60681576,-0.27981296,-0.22417574,-0.45768493,-0.34228122,-0.09564853,-0.27428186,-0.13445826,-0.8234904,1.2929775,-0.09504525,-1.7377132,0.051214203,0.8143342,1.1326458,0.7443981,0.05823176,-0.92221373,0.44080082,0.7699506,-0.48925564,0.21521354,0.7290231,0.8283441,-1.1585164,0.3114816,-0.93661594,0.26196337,-1.1381187,0.5060413,1.6150378,-0.23211165,0.6562736,0.49381116,0.23932117,0.27916294,0.63554215,-0.150007,-0.21244411,0.0045194356,0.5497568,0.36199346,-0.3075316,1.1346031,0.5386752,-0.62890255,0.501353,-0.6744404,0.5848227,1.4530628,-1.0530121,-0.8336275,0.8809835,-0.39639723,0.192606,0.005856518,0.33196384,-0.23987174
25695,-1.1389048,-3.2173765,6.2599807,0.6538643,2.1901271,4.291227,0.8654722,1.8024985,0.4061497,1.8727593,1.9628911,0.60821635,0.9467223,1.6442931,2.056649,-0.18715575,0.4190699,-2.1604967,-0.9761201,3.0754397,1.8814878,-0.05789221,-0.1611255,1.9317665,2.6412487,-1.247824,-1.4562664,1.5015517,-0.7956429,0.8381164,1.8257359,1.7997487,0.9468967,-0.4226406,-0.8587403,-2.4295478,-0.4197413,-0.4181272,0.35054064,4.8148937,-0.16195066,-1.384536,-0.5295085,2.9062812,-0.7508289,0.03944494,1.5999861,0.4644242,1.2086425,0.014338016,2.090615,0.16137774,0.6132046,-2.806086,-0.009783952,-1.9206533,0.3713937,2.5020542,-0.43888557,-0.2483657,-1.4769143,-0.32848373,-1.7717899,-0.6138269,-0.63915676,2.8841577,0.79950875,1.850177,-0.30485868,-0.1725483,-3.4288273,1.2338145,-1.5757256,-2.1900053,0.13734554,-1.8350896,-0.68713444,0.8704784,0.4960351,-3.585837,-0.6349262,-1.4628606,1.1423054,-1.7905174,2.5170503,0.11446786,1.386378,2.4416573,1.2118723,0.6285138,-1.258551,1.9626292,-1.5637238,2.6810641,-2.2811396,-0.9238179,-0.22727473,0.25344017,1.154411,-0.9858465,-1.5599,3.807115,-0.20523961,1.2322102,1.8991408,-0.721893,-1.1011186,-0.015111965,0.9998934,-0.43731093,1.2294945,0.4068299,-2.236236,1.2952056,1.1819253,-1.8055489,0.9908791,-1.4986813,-1.076628,0.9659393,0.70893276,0.012810193,-0.0844189,-0.56665283,-0.04116129,0.076868124,1.058074,-1.1334928,0.13023926,-0.9897394,0.42266953,0.3357004,-0.35516205,-1.1032903,0.0690962,-1.0390606,1.5443127,-0.4817076,-0.3457684,-0.15844144,-0.0028405113,1.621027,0.60086894,-0.0021168082,0.4257572,-1.0847039,-0.8372475,0.62462777,-0.7708885,-0.5421514,0.38971207,-0.20990993,-0.01916531,1.3278908,-0.6553306,-0.12109515,-0.64323735,0.08530456,0.27970454,-0.25398976,-0.3457543,-0.8885276,-0.05054311,-0.0077783195,0.33523586,-0.8076671,0.6567548,0.47439456,-0.15390758,-0.57449245,0.56371474,-0.22022505,0.08111576,-0.3706295,-0.2177066,-0.13047501,0.26747763,-0.4029714,0.27426106
40914,-1.7559406,1.7679979,4.521811,-0.093771316,-4.2312565,1.2195711,-0.6329938,0.48527697,0.1664507,2.063162,-1.1431974,-0.8926725,3.0231237,0.34581527,0.14189748,-0.29331696,2.4765844,2.9333205,-0.8351333,3.396497,-0.07681744,-2.701899,0.28814158,1.0816052,-0.5548462,2.0636659,-2.438283,2.6584392,-0.32824433,-1.7200763,3.6796618,-1.4417751,1.0488727,1.4395018,2.6886232,1.0624075,0.2472087,-0.7882407,0.7213911,-1.4117943,-0.5013259,-1.1906741,1.1733034,-1.5122434,-1.6698985,0.51798564,1.6575766,0.8853229,0.26260343,0.15358232,1.4813337,2.9327252,-0.5092151,1.1083151,0.41464928,-1.2007964,0.9260593,2.574539,-0.21321829,0.36917204,0.45126125,0.3466536,2.1125238,-1.0508583,1.6410847,-1.4942701,-0.46042526,-0.0756231,-0.1514633,1.1742128,-1.8845409,1.0786713,2.104866,1.0144693,-0.17068724,0.26284996,-1.6240821,0.044923533,1.4502251,0.57656133,0.35744992,0.1100767,1.3184271,-1.1866263,2.10624,0.10108318,0.3288499,-0.11142184,0.046317007,-0.41718298,-0.35949555,2.027062,1.1824154,-0.06997957,-0.29112133,-0.52435285,0.19217777,-0.015722495,-1.0007824,-0.30021456,1.1166894,-0.06966124,-0.0552458,-0.8903787,0.3202841,-1.5209969,-0.96592486,0.91656226,-0.92104864,-0.98548967,-0.3207142,0.9235382,-0.44713548,-0.82241,-0.015804749,-0.2581955,-1.4388798,0.10405617,1.114655,1.8703878,-0.56199276,0.3712011,-1.0690916,-0.6457982,0.71515906,1.361145,-0.6697084,-0.7538058,0.6335333,1.6939411,0.8576518,0.36209545,-0.73092556,-0.3436234,-0.87847185,-0.5969983,-1.0184759,0.3868281,0.8743274,-1.426198,-0.019353129,-0.23194885,0.13104776,-0.54911196,0.0120935645,-0.78540367,1.0555685,0.0012427395,-0.2597953,0.805159,-0.24739665,0.32708383,0.56224453,-0.7694664,-0.8368248,0.8200567,-0.8224916,-0.53992826,-0.508554,-1.0114645,0.114106804,-0.85080194,-0.39582375,0.74428403,-0.2724845,-1.5088207,-0.28895894,-0.24257159,0.95512575,1.0933486,-0.5667695,-0.4521578,0.3151872,0.8341172,-1.3274488,0.8852813,0.32745188,-0.035687894,1.5335534
48952,-1.1407818,3.827959,-3.3687906,2.0752804,-2.6055999,-0.06645153,1.0065585,2.440135,0.9258757,-1.2769164,0.57903194,-0.35260996,-1.7166393,0.12001229,2.4398549,0.5712838,3.7898428,2.344923,0.9019533,1.1822392,-0.16080628,-0.60809386,-3.9486284,-0.49662504,2.902289,-1.4612135,-1.3567338,1.2669232,0.52645934,-1.8559453,2.9987137,0.60925317,-0.7458646,1.6663837,-1.4120079,1.3337269,0.06164359,1.608712,1.6271255,2.1035874,0.5368631,0.40866455,-0.6777831,0.37222323,-2.0797818,-0.5959783,-1.3261435,-0.7985536,-0.9060689,0.22403665,-1.351427,0.48453742,-0.12568128,-0.31819686,-2.098162,-0.334489,0.65050566,-1.257488,0.71749127,-0.90697896,-0.26737317,2.2531595,-0.08922987,0.74452883,-0.7092451,0.34149724,-2.0576518,-1.1401324,0.9160878,-1.9915476,-0.334896,-2.0301166,0.30250174,-1.0045732,-0.70009136,-1.601104,0.5326923,0.07622899,1.8788302,3.4490323,1.4133346,-1.3203175,1.9905512,0.4908327,-0.8841017,0.357236,1.1296275,1.181929,0.99761987,0.97540843,0.5896435,-0.87154806,0.5002357,0.79941106,-1.7205132,-1.4949265,1.5704387,-1.5909839,-0.49486977,1.6289053,0.3501544,1.2766116,1.7138114,-0.60522556,-0.22761531,-0.8405911,-1.8494403,1.0323753,-0.3192233,-0.15941286,-0.43545824,1.2712893,-0.052920554,0.052979402,0.32639787,1.0284965,-0.1425749,-1.1159232,-0.4050937,1.643418,0.41397214,0.07957771,1.0385166,0.80777264,-1.5318961,-0.88342977,-0.47348014,0.079350285,-0.6587002,-0.7740354,-0.014187646,-0.87905246,1.4489256,-0.97484744,-1.1712871,1.0302207,0.3466459,0.49300954,-0.39232132,-1.3450532,0.3286616,-0.53758055,-1.1972213,-0.2749145,0.26261666,-0.019078977,-1.0845661,-0.64328545,0.31753105,0.13790794,-0.358045,-0.12709981,0.46816176,0.26651245,-0.1313985,-0.4018835,-0.18257979,-0.5534074,-1.1191475,0.37459102,-1.148421,-0.703426,1.0788529,-0.36520508,0.2645833,0.25600025,1.8814293,0.34012127,-0.40883088,-0.4807514,-1.5420833,0.24990128,1.8134216,0.019580487,-1.3682992,0.26209235,-0.82498956,-0.90440613,0.809184
